match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,won_margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,,players_name,total_score,Avr,SR,4s,6s,Bowler_Name,WKTS,Economy,,Stadium_name,,Ave inning score,Ave PP score,Ave death over score
34,4/24/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Group,Delhi Capitals,Bat,137,6,144,9,Delhi Capitals,Runs,7,Axar Patel,Mayank Agarwal,49,Prasidh Krishna,3--22,,Axar Patel,283,28.3,139.4,21,15,Anrich Nortje,10,9.1,,,,,,
35,4/25/2023,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Group,Mumbai Indians,Field,207,6,152,9,Gujarat Titans,Runs,55,Abhinav Manohar,Shubman Gill,56,Andre Russell,4--5,,Liam Livingstone,279,34.87,163.15,20,19,T Natarajan,10,9.11,,,,,,
36,4/26/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Group,Royal Challengers Bangalore,Field,179,8,200,5,Kolkata Knight Riders,Runs,21,Varun Chakaravarthy,Jason Roy,56,T Natarajan,3--10,,Sam Curran,276,27.6,135.96,20,13,Marco Jansen,10,9.88,,,,,,
37,4/27/2023,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Group,Rajasthan Royals,Field,202,5,170,6,Rajasthan Royals,Runs,32,Yashasvi Jaiswal,Yashasvi Jaiswal,77,Krunal Pandya,3--19,,KL Rahul,274,34.25,113.22,28,4,Sam Curran,10,10.22,,,,,,
38,4/28/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Lucknow Super Giants,Group,Punjab Kings,Field,201,10,257,5,Lucknow Super Giants,Runs,56,Marcus Stoinis,Marcus Stoinis,72,Kagiso Rabada,2--23,,Rahul Tripathi,273,22.75,128.16,29,10,Karn Sharma,10,10.37,,,,,,
39,4/29/2023,Eden Gardens,Kolkata Knight Riders,Gujarat Titans,Group,Gujarat Titans,Field,179,7,180,3,Gujarat Titans,Wickets,7,Joshua Little,Rahmanullah Gurbaz,81,Kuldeep Sen,4--20,,Mayank Agarwal,270,27,128.57,29,6,Krunal Pandya,9,7.45,,,,,,
40,4/29/2023,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,Bat,188,6,197,6,Sunrisers Hyderabad,Runs,9,Mitchell Marsh,Mitchell Marsh,63,Umran Malik,5--25,,Devdutt Padikkal,261,26.1,130.5,31,6,Moeen Ali,9,7.5,,,,,,
41,4/30/2023,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Group,Chennai Super Kings,Bat,200,4,201,6,Punjab Kings,Wickets,4,Devon Conway,Devon Conway,92,Kuldeep Yadav,4--14,,David Miller,259,32.37,145.5,18,13,Harpreet Brar,9,8.02,,,,,,
42,4/30/2023,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Group,Rajasthan Royals,Bat,214,4,212,7,Mumbai Indians,Wickets,6,Yashasvi Jaiswal,Yashasvi Jaiswal,124,Kagiso Rabada,4--38,,Aiden Markram,248,22.54,125.88,18,8,Wanindu Hasaranga,9,8.89,,,,,,
43,05-01-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Group,Royal Challengers Bangalore,Bat,108,10,126,9,Royal Challengers Bangalore,Runs,18,Faf du Plessis,Faf du Plessis,44,Pradeep Sangwan,2--19,,Nehal Wadhera,241,26.77,145.18,23,12,Khaleel Ahmed,9,9.12,,,,,,
